Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"IIT Robert F. Carr Memorial Chapel of Saint Savior, Chicago, IL (Air supply duct. Plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1949—1952,Pencil on paper,(106.7 x 137.1 cm.),"Mies van der Rohe Archive, gift of the architect",MR4903.152,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,459008,,,,,,,,,,,,
Three Bathers at the Moritzburg Lakes (Drei Badende an den Moritzburger Seen) from Brücke 1910,Ernst Ludwig Kirchner,3115,"(German, 1880–1938)",(German),(1880),(1938),(male),"1909, published 1910","Drypoint from a portfolio of two woodcuts, one drypoint, and one woodcut cover","composition: 7 1/16 x 8 1/8"" (17.9 x 20.6 cm); sheet: 15 3/4 x 21 1/8"" (40 x 53.7 cm)","Riva Castleman Endowment Fund, The Philip and Lynn Straus Foundation Fund, Frances Keech Fund, and by exchange: Nina and Gordon Bunshaft Bequest, Gift of James Thrall Soby, Anonymous, J. B. Neumann, and Victor S. Riesenfeld, acquired through the Lillie P. Bliss Bequest (by exchange), and Abby Aldrich Rockefeller Fund",221.1997.2,Print,Drawings & Prints,1997-05-28,Y,64661,https://www.moma.org/collection/works/64661,https://www.moma.org/media/W1siZiIsIjEyMjgzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d7a3a1168b3bf4bd,,,,,17.9,,,20.6,,
Corsage Kit,Ken Friedman,2007,"(American, born 1949)",(American),(1939),(0),(male),1971,Cardboard box containing 95 sheets of printed paper and box of pins,"overall (box): 4 7/8 × 2 5/8 × 1"" (12.4 × 6.7 × 2.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3714.2008,Multiple,Drawings & Prints,2008-10-08,Y,135222,https://www.moma.org/collection/works/135222,https://www.moma.org/media/W1siZiIsIjM5NDkzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=205848bb7f502eb9,,,2.54000508,,12.382524765,,,6.667513335,,
"Military Bridge, Across the Chickahominy, VA",D. B. Woodbury,6443,"(American, 1839–1866)",(American),(1839),(1866),(male),1862,Albumen silver print,"6 13/16 × 8 7/8"" (17.3 × 22.5 cm)",Purchase,411.1977,Photograph,Photography,1977-10-13,Y,52886,https://www.moma.org/collection/works/52886,https://www.moma.org/media/W1siZiIsIjIwNzYyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c12880f13d4b5a5e,,,,,17.3,,,22.5,,
Carries Burdens from the portfolio Each Man in His Time,Richard A. Florsheim,1921,"(American, 1916–1979)",(American),(1916),(1979),(male),1951,Lithograph,"Plate: 17 1/4 × 13 1/2"" (43.8 × 34.3 cm)
Sheet: 21 3/4 × 17 1/8"" (55.3 × 43.5 cm)",Purchase,93.1952.9,Print,Drawings & Prints,1952-05-20,Y,86518,https://www.moma.org/collection/works/86518,,,,,,43.8,,,34.3,,
"THE HEALTHY AND THE SICK, plate 57 (folio 59) from LOS DESASTRES DE LA GUERRA",Francisco de Goya,2274,"(Spanish, 1746–1828)",(Spanish),(1746),(1828),(male),1810-1863,"Etching, aquatint, and engraving, printed in color","plate  6 1/8 x 8 1/8"" (15.5 x 20.7 cm)",The Louis E. Stern Collection,842.1964.57,Illustrated Book,Drawings & Prints,1964-10-06,N,26356,,,,,,,15.5,,,20.7,,
Headpiece and pictorial initial for Chapter I (page 3) from LES ÂMES MORTES,Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(male),1923-1948,"Etching, printed in black","Headpiece (comp. irreg.): 4 7/8 x 8 3/16"" (12.4 x  20.8 cm)  Initial (comp. irreg.): 1 1/4 x 1 7/16"" (3.2 x  3.7 cm)",The Louis E. Stern Collection,749.1964.A02,Illustrated Book,Drawings & Prints,1964-10-06,N,22438,,,,,,,12.4,,,20.8,,
Double page in-text plate (folios 33 and 34) from MUD BOOK,"John Cage, Lois Long","912, 3590","(American, 1912–1992) (American, 1918 – 2005)",(American) (American),(1912) (1918),(1992) (2005),(male) (female),1983,,"irreg. composition  4 5/8 x 9 1/16"" (11.8 x 23 cm)",William K. Simpson Fund,71.1984.18,Illustrated Book,Drawings & Prints,1984-02-01,N,10955,,,,,,,11.8,,,23.0,,
Jean Dubuffet,Arnold Newman,4284,"(American, 1918–2006)",(American),(1918),(2006),(male),1956,"Gelatin silver print, printed 1957","8 3/4 × 7 5/8"" (22.2 × 19.4 cm)",Gift of the artist,120.1967,Photograph,Photography,1967-03-07,N,46584,,,,,,,22.2,,,19.4,,
Plate (page 19) from HOMMAGE À RIMBAUD,Roger Vieillard,6150,"(French, 1907–1989)",(French),(1907),(1989),(male),1945,"Engraving with etched caption, printed in black","irreg. composition  7 11/16 x 5 1/8"" (19.6 x 13.1 cm)",Curt Valentin Bequest,134.1956.5,Illustrated Book,Drawings & Prints,1956-03-19,N,11530,,,,,,,19.6,,,13.1,,
